WT_1,WT_2,WT_3,WT_4,WT_5,WT_6,WT_7,WT_8,WT_9,WT_10,WT_11,WT_12,WT_13,WT_14,WT_15,WT_16,WT_17,WT_18,WT_19,WT_20,WT_21,WT_22,WT_23,WT_24,WT_25,WT_26,WT_27,WT_28,WT_29,WT_30,WT_31,WT_32,ZS,longitude,latitude,BLD_HEIGHT,X,Y,MNT
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652350,6862600,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652450,6862600,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652550,6862600,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652650,6862600,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652050,6862700,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652150,6862700,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652250,6862700,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652350,6862700,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652450,6862700,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652550,6862700,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652650,6862700,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652050,6862800,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652150,6862800,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652250,6862800,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652350,6862800,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652450,6862800,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652550,6862800,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652650,6862800,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652050,6862900,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652150,6862900,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652250,6862900,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652350,6862900,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652450,6862900,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652550,6862900,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652650,6862900,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652050,6863000,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652150,6863000,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652250,6863000,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652350,6863000,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652450,6863000,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652550,6863000,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652650,6863000,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652050,6863100,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652150,6863100,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652250,6863100,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652350,6863100,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652450,6863100,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652550,6863100,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652650,6863100,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652050,6863200,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652150,6863200,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652250,6863200,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652350,6863200,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652450,6863200,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652550,6863200,35
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,0,46.81231,2.35137,48.86401,19.43111,652650,6863200,35
