VT_1,VT_2,VT_3,VT_4,VT_5,VT_6,VT_7,VT_8,VT_9,VT_10,VT_11,VT_12,VT_13,VT_14,VT_15,VT_16,VT_17,VT_18,VT_19,VT_20,VT_21,VT_22,VT_23,VT_24,VT_25,VT_26,VT_27,VT_28,VT_29,VT_30,VT_31,VT_32,ZS,longitude,latitude,BLD_HEIGHT,X,Y,MNT
-1.24731,-1.24731,-1.15485,0.0852,0.85479,1.13857,1.06456,0.61526,0.30254,-0.17082,-0.89933,-1.92995,-2.89279,-1.68112,-0.49495,-1.40631,-1.60798,2.01336,3.14331,4.08091,4.78158,4.5967,4.6111,4.61091,4.89942,4.97199,3.74947,1.2626,-1.30501,-2.5869,-2.66504,-2.66504,44.29843,2.35137,48.86121,20.29333,652350,6863050,35.9
-1.24731,-1.24731,-1.15485,0.0852,0.85479,1.13857,1.06456,0.61526,0.30254,-0.17082,-0.89933,-1.92995,-2.89279,-1.68112,-0.49495,-1.40631,-1.60798,2.01336,3.14331,4.08091,4.78158,4.5967,4.6111,4.61091,4.89942,4.97199,3.74947,1.2626,-1.30501,-2.5869,-2.66504,-2.66504,44.29843,2.35137,48.86121,20.29333,652450,6863050,35.9
-1.24731,-1.24731,-1.15485,0.0852,0.85479,1.13857,1.06456,0.61526,0.30254,-0.17082,-0.89933,-1.92995,-2.89279,-1.68112,-0.49495,-1.40631,-1.60798,2.01336,3.14331,4.08091,4.78158,4.5967,4.6111,4.61091,4.89942,4.97199,3.74947,1.2626,-1.30501,-2.5869,-2.66504,-2.66504,44.29843,2.35137,48.86121,20.29333,652550,6863050,35.9
-1.24731,-1.24731,-1.15485,0.0852,0.85479,1.13857,1.06456,0.61526,0.30254,-0.17082,-0.89933,-1.92995,-2.89279,-1.68112,-0.49495,-1.40631,-1.60798,2.01336,3.14331,4.08091,4.78158,4.5967,4.6111,4.61091,4.89942,4.97199,3.74947,1.2626,-1.30501,-2.5869,-2.66504,-2.66504,44.29843,2.35137,48.86121,20.29333,652650,6863050,35.9
-1.24731,-1.24731,-1.15485,0.0852,0.85479,1.13857,1.06456,0.61526,0.30254,-0.17082,-0.89933,-1.92995,-2.89279,-1.68112,-0.49495,-1.40631,-1.60798,2.01336,3.14331,4.08091,4.78158,4.5967,4.6111,4.61091,4.89942,4.97199,3.74947,1.2626,-1.30501,-2.5869,-2.66504,-2.66504,44.29843,2.35137,48.86121,20.29333,652050,6863150,35.9
-1.24731,-1.24731,-1.15485,0.0852,0.85479,1.13857,1.06456,0.61526,0.30254,-0.17082,-0.89933,-1.92995,-2.89279,-1.68112,-0.49495,-1.40631,-1.60798,2.01336,3.14331,4.08091,4.78158,4.5967,4.6111,4.61091,4.89942,4.97199,3.74947,1.2626,-1.30501,-2.5869,-2.66504,-2.66504,44.29843,2.35137,48.86121,20.29333,652150,6863150,35.9
-1.24731,-1.24731,-1.15485,0.0852,0.85479,1.13857,1.06456,0.61526,0.30254,-0.17082,-0.89933,-1.92995,-2.89279,-1.68112,-0.49495,-1.40631,-1.60798,2.01336,3.14331,4.08091,4.78158,4.5967,4.6111,4.61091,4.89942,4.97199,3.74947,1.2626,-1.30501,-2.5869,-2.66504,-2.66504,44.29843,2.35137,48.86121,20.29333,652250,6863150,35.9
-1.24731,-1.24731,-1.15485,0.0852,0.85479,1.13857,1.06456,0.61526,0.30254,-0.17082,-0.89933,-1.92995,-2.89279,-1.68112,-0.49495,-1.40631,-1.60798,2.01336,3.14331,4.08091,4.78158,4.5967,4.6111,4.61091,4.89942,4.97199,3.74947,1.2626,-1.30501,-2.5869,-2.66504,-2.66504,44.29843,2.35137,48.86121,20.29333,652350,6863150,35.9
-1.24731,-1.24731,-1.15485,0.0852,0.85479,1.13857,1.06456,0.61526,0.30254,-0.17082,-0.89933,-1.92995,-2.89279,-1.68112,-0.49495,-1.40631,-1.60798,2.01336,3.14331,4.08091,4.78158,4.5967,4.6111,4.61091,4.89942,4.97199,3.74947,1.2626,-1.30501,-2.5869,-2.66504,-2.66504,44.29843,2.35137,48.86121,20.29333,652450,6863150,35.9
-1.24731,-1.24731,-1.15485,0.0852,0.85479,1.13857,1.06456,0.61526,0.30254,-0.17082,-0.89933,-1.92995,-2.89279,-1.68112,-0.49495,-1.40631,-1.60798,2.01336,3.14331,4.08091,4.78158,4.5967,4.6111,4.61091,4.89942,4.97199,3.74947,1.2626,-1.30501,-2.5869,-2.66504,-2.66504,44.29843,2.35137,48.86121,20.29333,652550,6863150,35.9
-1.24731,-1.24731,-1.15485,0.0852,0.85479,1.13857,1.06456,0.61526,0.30254,-0.17082,-0.89933,-1.92995,-2.89279,-1.68112,-0.49495,-1.40631,-1.60798,2.01336,3.14331,4.08091,4.78158,4.5967,4.6111,4.61091,4.89942,4.97199,3.74947,1.2626,-1.30501,-2.5869,-2.66504,-2.66504,44.29843,2.35137,48.86121,20.29333,652650,6863150,35.9
